menage,tailledelafamille,nbreenfants,nbreadultes,revenunetmois,ucoxford,ucocde,niveaudevieoxford,niveaudevieocde,1_pooroxford,1_poorocde,assaini
1,4,2,2,1,2.7,2.1,0.37,0.48,1,1,0
2,4,2,2,1,2.7,2.1,0.37,0.48,1,1,0
3,4,2,2,1,2.7,2.1,0.37,0.48,1,1,0
4,8,3,5,3,5.3,3.9,0.57,0.77,1,0,1
5,8,3,5,3,5.3,3.9,0.57,0.77,1,0,1
6,8,3,5,3,5.3,3.9,0.57,0.77,1,0,1
7,2,0,2,7,1.7,1.5,4.12,4.67,0,0,0
8,2,0,2,7,1.7,1.5,4.12,4.67,0,0,0
9,2,0,2,7,1.7,1.5,4.12,4.67,0,0,0
10,4,0,4,1,3.1,2.5,0.32,0.4,1,1,0
11,4,0,4,1,3.1,2.5,0.32,0.4,1,1,0
12,4,0,4,1,3.1,2.5,0.32,0.4,1,1,0
13,2,0,2,2,1.7,1.5,1.18,1.33,0,0,0
14,2,0,2,2,1.7,1.5,1.18,1.33,0,0,0
15,2,0,2,2,1.7,1.5,1.18,1.33,0,0,0
16,4,2,2,1,2.7,2.1,0.37,0.48,1,1,0
17,4,2,2,1,2.7,2.1,0.37,0.48,1,1,0
18,4,2,2,1,2.7,2.1,0.37,0.48,1,1,0
19,3,0,3,1,2.4,2.0,0.42,0.5,1,1,1
20,3,0,3,1,2.4,2.0,0.42,0.5,1,1,1
21,3,0,3,1,2.4,2.0,0.42,0.5,1,1,1
22,4,0,4,7,3.1,2.5,2.26,2.8,0,0,0
23,4,0,4,7,3.1,2.5,2.26,2.8,0,0,0
24,4,0,4,7,3.1,2.5,2.26,2.8,0,0,0
25,4,2,2,3,2.7,2.1,1.11,1.43,0,0,0
26,4,2,2,3,2.7,2.1,1.11,1.43,0,0,0
27,4,2,2,3,2.7,2.1,1.11,1.43,0,0,0
